title,type,numberOfSeasons,numberOfEpisodes,language,yearOfRelease
Supreme Khiladi-2 (Hindi Dub),Comedy,,,Hindi,2018
Kaashmora 2,Action,,,Hindi,2017
Heart Attack 3,Dub,,,Hindi,2012
Savyasachi (Hindi Dub),Thriller,,,Hindi,2018
Sarrainodu (Hindi),Action,,,Hindi,2017
The Super Khiladi 3,Dub,,,Hindi,2010
Agneepath,Action,,,Hindi,2012
DJ,Dub,,,Hindi,2017
The Return of Rebel,Action,,,Hindi,2012
Inspector Vijay (Hindi Dub),Action,,,Hindi,2018
The Return of Abhimanyu (Hindi Dub),Action,,,Hindi,2018
Sivaji The Boss (Hindi Dub),Action,,,Hindi,2007
Dangerous Khiladi Returns (Hindi Dub),Action,,,Hindi,2007
Kavan (Hindi Dub),Action,,,Hindi,2017
Asuravadham (Hindi Dub),Action,,,Hindi,2018
The Return of Sikander (Hindi Dub),Action,,,Hindi,2005
Main Insaaf Karoonga 2 (Hindi Dub),Action,,,Hindi,2004
Mard The Khiladi (Hindi Dub),Action,,,Hindi,2014
Aakhari Baazi  (Hindi Dub),Dub,,,Hindi,2019
Potugadu (Hindi Dub),Romance,,,Hindi,2013
Kasam Khayi Hai (Hindi Dub),Dub,,,Hindi,2014
Garam (Hindi Dub),Action,,,Hindi,2016
Disco Raja (Hindi Dub),Thriller,,,Hindi,2016
Izzat Ke Khatir (Hindi Dub),Dub,,,Hindi,2014
Ladai Taqdeer Ki (Hindi Dub),Romance,,,Hindi,2001
Supreme Khiladi-2 (Hindi Dub),Comedy,,,Hindi,2018
Ram Ki Jung (Hindi Dub),Romance,,,Hindi,2010
Sabse Badhkar Hum (2015),Action,,,Hindi,2010
Cheetah,Drama,,,Hindi,2005
Lori,Drama,,,Hindi,2017
Girl On Heels - Short Film,Short,,,Hindi,2017
The Guide,Short,,,Hindi,2018
Salt 'N' Pepper,Short,,,Hindi,2018
Papa,Musical,,,Hindi,2018
Choices,Drama,,,Hindi,2017
Dilli Vala Dost - Short Film,Short,,,Hindi,2017
A gentle giant ,Drama,,,Hindi,2016
Dooriyan,Drama,,,Hindi,2016
Bhindi - Bitter Sweet - Short Film,Short,,,Hindi,2018
