title,type,numberOfSeasons,numberOfEpisodes,language,yearOfRelease
Thinkistan,,1 Season,11 Episodes,,
Bollywood Buzzinga,,1 Season,10 Episodes,,
Hey Prabhu!,,1 Season,6 Episodes,,
ImMature,,1 Season,5 Episodes,,
F Buddies (Hindi),,1 Season,8 Episodes,,
Aafat ,,1 Season,6 Episodes,,
Love Ok Please,,1 Season,14 Episodes,,
Famously Filmfare Kannada,,1 Season,6 Episodes,,
Famously Filmfare Marathi,,1 Season,12 Episodes,,
LOL (Lots Of Love)(Telugu),,1 Season,8 Episodes,,
A.I.SHA My Virtual Girlfriend ,,3 Seasons,19 Episodes,,
TVF Pitchers,,1 Season,5 Episodes,,
Powder,,1 Season,26 Episodes,,
Apharan,,1 Season,12 Episodes,,
TVF Tripling,,1 Season,5 Episodes,,
TVF Permanent Roommates,,1 Season,11 Episodes,,
FLAMES,,1 Season,5 Episodes,,
Puncchbeat,,1 Season,13 Episodes,,
Little Things,,1 Season,5 Episodes,,
Dil Hi Toh Hai Season 2,,1 Season,34 Episodes,,
Powder,,1 Season,26 Episodes,,
Little Things,,1 Season,5 Episodes,,
Yudh,,1 Season,20 Episodes,,
Apharan,,1 Season,12 Episodes,,
Baby Come Naa,,1 Season,6 Episodes,,
Official Chukyagiri  ,,1 Season,5 Episodes,,
Bollywood Buzzinga,,1 Season,10 Episodes,,
Famously Filmfare,,1 Season,10 Episodes,,
Hankaar,,1 Season,10 Episodes,,
The Great Indian Dysfunctional Family,,1 Season,10 Episodes,,
